id,title,image-file-name,collected,desc
1,靜謐之舞,art-1,TRUE,"1.《靜謐之舞》｜2015 水彩｜34*34cm(含框)｜義賣價 NT$13,000
以細膩的筆觸與層次分明的構圖，描繪出大自然沉靜中的躍動之美。墨色與色彩交織成山石苔蘚的意象，呈現出生命的韻律與時間의流轉。整體畫面既充滿張力又不失安定，令人沉浸於一種深層的寧靜之中，猶如觀一場無聲的自然之舞。"
2,淡墨魚影,art-2,TRUE,"2.《淡墨魚影》｜2015 水彩｜29*34cm(含框)｜義賣價 NT$13,000
用淡墨與暈染的水墨技法，勾勒出魚游水間的靈動姿態。畫面極簡卻富含詩意，魚影若隱若現，彷彿在無聲中傳遞自然的柔和與靜謐。墨色層次微妙，留白處更顯水的深遠，讓人沉醉於一種近乎禪意的視覺沈思。"
3,引領潮流,art-3,TRUE,"3.《引領潮流》｜2014 水彩｜25*35cm(含框)｜義賣價 NT$13,000
以躍動的魚群象徵凝聚與前行的力量。墨色勾勒魚形，淡藍渲染水波，畫面中魚群依循水勢前進，其中一尾領頭魚鮮明突出，寓意帶領群體突破浪潮、勇往直前。整體風格靈動自然，傳達出一種團結、引領與突破的藝術意涵。"
4,事事如意,art-4,TRUE,"4.《事事如意》｜2015水彩｜25*35cm(含框)｜義賣價 NT$13,000
以三顆圓潤飽滿的柿子入畫，色彩溫暖鮮明，象徵豐收與圓滿。柿子諧音「事」，寓意萬事皆順、吉祥如意。畫中筆墨間蘊含祝福意涵，搭配書法題字與落款，使整幅作品不僅具視覺美感，更富文化底蘊與祝願之情。"
5,海韻悠揚,art-5,TRUE,"5.《海韻悠揚》｜2015 水彩｜23*34cm(含框)｜義賣價 NT$13,000
以流動的筆觸捕捉海浪翻湧之勢，藍墨暈染間層次分明，海面波動如樂章起伏，展現大自然的律動與生命力。畫面廣闊靜謐，天海相連，傳遞出一種內在沉靜與遼闊心境，如詩如歌，令人心神悠揚。"
6,花瓣輕舞,art-6,TRUE,"6.《花瓣輕舞》｜2015 水彩｜24*34cm(含框)｜義賣價 NT$13,000
以水墨暈染呈現盛開花朵的律動之美，輕盈的色彩彷彿花瓣在春風中翩然起舞。粉彩點點如晨露凝光，墨韻層層交織出生命的柔和與堅韌。畫面空靈脫俗，帶來一份安然與欣悅，猶如一場靜靜綻放的心靈饗宴。"
12,花舞墨韻,art-12,TRUE,"7.《花舞墨韻》｜2015 水彩｜34*34cm(含框)｜義賣價 NT$13,000
透過水墨與綠彩的巧妙結合，描繪出一株盛開花樹隨風搖曳的姿態。畫面層次分明，花團若舞，墨韻悠揚，既見自然之生機，也蘊含東方藝術的詩意節奏。整體意境清新脫俗，讓人沉浸在花影墨香交織的靜謐世界中。"
13,長袖善舞,art-13,TRUE,"8.《長袖善舞》｜2014 水彩｜34*34cm(含框)｜義賣價 NT$13,000
描繪一株枝葉婆娑、姿態曼妙的古樹，如舞者長袖翻飛，姿韻悠揚。畫面墨彩交錯、動靜相生，展現自然的生命力與藝術的韻律感。作品不僅展現畫者筆墨功力，更傳遞出從容自在、優雅圓融的人文精神。"
14,酋長,art-14,TRUE,"9.《酋長》｜2015水彩｜24*34cm(含框)｜義賣價 NT$13,000
以濃墨密筆堆疊出如雕塑般堅實的人像意象，象徵著部族領袖的沉穩與智慧。筆勢奔放而內斂，色彩厚重卻層次分明，呈現出強烈的文化精神與生命力量。作品不僅是視覺的表現，更是一種精神圖騰的凝視，引領觀者感受原始與靈性的對話。"
15,人群,art-15,TRUE,"10.《人群》｜2015 水彩｜29*31cm(含框)｜義賣價 NT$13,000
以強烈色塊與抽象筆觸描繪出一片熙攘的群像場域，紅與黑交織，如同情緒與現實的交戰。觀者可在畫面中感受到群體中的動勢，也能從中尋找個體存在的痕跡。作品傳遞出現代社會的節奏感與人我之間的微妙關係，引人深思其背後的文化與情感脈絡。"
16,時光漫遊,art-16,TRUE,"11.《時光漫遊》｜2015 水彩｜34*34cm(含框)｜義賣價 NT$13,000
運用黑與藍色塊的抽象堆疊，呈現時間在心靈中流轉的痕跡。左側如過去的沉積，右側如夢境般的開展，兩者之間無聲交融，彷彿在訴說一段靜靜流動的記憶旅程。作品富有沉思的空間，引人進入一場無聲的時光對話。"
17,時空交錯,art-17,TRUE,"12.《時空交錯》｜2016 壓克力顏料｜29*62cm(含框)｜義賣價 NT$20,000
以曲線與色塊的奔放交疊，展現出時間與空間在視覺中的動態交會。畫面中橘與藍、深與淺的對比營造出強烈節奏感，彷彿記憶與未來在此交錯迴旋。作品引領觀者思索生命旅程中的縱橫交織，在抽象之中感受宇宙律動的共鳴。"
18,都市交響曲,art-18,TRUE,"13.《都市交響曲》｜2016 壓克力顏料｜30*62cm(含框)｜義賣價 NT$20,000
以繽紛的幾何色塊編織出繁忙城市的視覺樂章。橙黃與紅綠交錯，如同城市中的建築、街道與燈火，彼此碰撞、協奏出生活的節奏。作品充滿動感與層次，猶如一首關於都會節奏、夢想與秩序交織的交響詩，引人共鳴。"
19,映紅之夢,art-19,TRUE,"14.《映紅之夢》｜2021壓克力顏料｜64*97cm(含框)｜義賣價 NT$33,000
以奔放的紅色為基調，穿插墨線與淡彩的錯落結構，呈現出夢境中情緒湧動的畫面感。整體畫面如火焰翻舞、似花瓣綻放，亦如思緒翻騰的內在風景。抽象中見韻律，混沌中顯張力，是一場關於記憶與感官交錯的視覺夢旅。"
20,光之旋律,art-20,TRUE,"15.《光之旋律》｜2021 壓克力顏料｜64*97cm(含框)｜義賣價 NT$33,000
透過金黃與墨色的強烈對比，營造出一種流動的能量感。層疊的線條如旋律般穿梭畫面，節奏明快、韻律分明，象徵光的閃耀與生命的躍動。作品充滿動感與張力，如同捕捉住一段閃耀瞬間所編織的視覺交響曲。"
21,上道,art-21,TRUE,"16.《上道》｜2024 墨寶｜50*95cm(含框)｜義賣價 NT$10,000
《上道》二字運筆穩健有力，筆鋒轉折之間透出書者的自信與內斂修為。字義高遠，寓意行事合於天理、處世循大道，展現修為品格之志向。全作氣勢沉穩，兼具書法美學與哲理意涵，既為視覺作品，更為精神寄語。"
22,和諧,art-22,TRUE,"17.《和諧》｜2024 墨寶｜50*84cm(含框)｜義賣價 NT$10,000
《和諧》二字書寫自然奔放、氣韻生動，筆勢中蘊含剛柔並濟之美。作品傳遞出以和為貴、共生共融的思想內涵，象徵平衡、共處與心靈的平和。觀之如沐春風，不僅賞心悅目，更發人深省，為書藝與哲理的完美結合。"
23,應無所住,art-23,TRUE,"18.《應無所住》｜2024 墨寶｜50*84cm(含框)｜義賣價 NT$10,000
《應無所住》出自《金剛經》，意指心無執著、不住於相，是通往智慧與自在的修行之道。此書作筆勢雄健、結構嚴謹，墨色層次分明，筆筆見心。書者透過文字揮灑出禪意與哲理，觀之令人心境澄明，頓感安然，是一幅兼具藝術美與佛學思維的佳作。"
24,正向,art-24,TRUE,"19.《正向》｜2024 墨寶｜50*85cm(含框)｜義賣價 NT$10,000
《正向》二字書寫氣勢磅礡，筆劃之間充滿力量與信念，傳遞出積極、樂觀的人生態度。作品不僅彰顯書法之美，更如心靈箴言，鼓舞人們在困境中堅定前行、保持正念。是觀賞與激勵並重的精神佳作。"
25,超我服務,art-25,TRUE,"20.《超我服務》｜2024 墨寶｜50*85cm(含框)｜義賣價 NT$10,000
《超我服務》以鏗鏘有力的筆觸，傳遞出超越自我、利他為本的價值信念。四字筆勢穩健，章法自然，展現出書者對理想精神的深刻體悟與堅定意志。此作不僅為書法藝術的體現，更為奉獻精神的具象化表達，極具啟發性與象徵意義。"
26,應無所住，無住生心,art-26,TRUE,"21.《應無所住，無住生心》｜2024 墨寶｜50*106cm(含框)｜義賣價 NT$10,000
《應無所住，無住生心》出自《金剛經》核心章句，闡述「不執著於一切境相，方能生起圓融清淨之心」的修行智慧。書者以沉著穩健的筆觸，將禪理轉化為具象書藝，八字佈局分明、氣韻流動，在厚實與空靈之間達到巧妙平衡。墨色層次變化中，流露出一份靜謐與通透的精神境界。"
27,興利,art-27,TRUE,"22.《興利》｜2024 墨寶｜50*95cm(含框)｜義賣價 NT$10,000
《興利》二字書寫樸實有力，筆鋒沉穩中帶有昂揚之氣，傳遞出造福群體、推動發展的仁政思想。此語源於「興利除弊」，強調在發展中顧及公益與正道，也傳遞出一種以利濟人、利他為本的價值理念。"
28,精進,art-28,TRUE,"23.《精進》｜2024 墨寶｜50*86cm(含框)｜義賣價 NT$10,000
《精進》二字直書而下，筆鋒圓潤中見剛勁，顯示書者深厚功底與內斂心性。此作寓意深遠，不僅為修行者的自我勉勵，更體現服務、行動與學習之道，對個人修為與集體願景的高度凝練。"
29,必勝,art-29,TRUE,"24.《必勝》｜2024 墨寶｜50*106cm(含框)｜義賣價 NT$10,000
《必勝》一作，以雄渾筆力展現堅毅信念，墨色濃重而不失靈動，書者下筆果斷、氣貫筆端，體現出內在精神的爆發力。作品寓意積極進取、不畏艱難、堅信終將成功。"
30,積極,art-30,TRUE,"25.《積極》｜2024 墨寶｜50*86cm(含框)｜義賣價 NT$10,000
《積極》一作，以堅定筆觸書寫出自我超越與奮進不懈的精神內涵。書者運筆穩健、結構勻稱，寓意穩紮穩打、厚積而發，展現一種從容而堅毅的力量。"
